                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     51,                0.79319,                0.47177,                0.89306,                0.93593,                0.93957,                 0.9544,                0.78825,                0.68532,                0.37804,                0.86965,               0.000614,               0.000614,               0.000614
                     52,                0.79954,                0.47516,                0.89312,                0.94137,                0.93494,                0.95589,                 0.7873,                0.68389,                0.37773,                0.86971,             0.00058571,             0.00058571,             0.00058571
                     53,                0.78217,                0.46321,                0.88805,                0.93782,                  0.938,                0.95577,                0.78933,                0.68465,                0.37824,                0.86968,             0.00055743,             0.00055743,             0.00055743
                     54,                0.78638,                0.46454,                 0.8894,                0.93926,                0.93483,                0.95686,                0.79125,                0.67949,                0.37371,                0.86755,             0.00052914,             0.00052914,             0.00052914
                     55,                 0.7853,                0.46421,                 0.8903,                0.94489,                0.93383,                0.95563,                0.79021,                 0.6802,                0.37256,                0.86945,             0.00050086,             0.00050086,             0.00050086
                     56,                0.77868,                0.46103,                0.88759,                0.94212,                0.93494,                0.95604,                0.79083,                0.68205,                 0.3738,                0.86943,             0.00047257,             0.00047257,             0.00047257
                     57,                0.77715,                 0.4605,                0.88768,                0.94406,                0.93568,                0.95635,                0.79084,                0.67751,                0.37312,                0.86796,             0.00044429,             0.00044429,             0.00044429
                     58,                0.76918,                0.45401,                0.88587,                0.93828,                0.93978,                0.95651,                0.79115,                0.67563,                0.37056,                0.86833,               0.000416,               0.000416,               0.000416
                     59,                0.77924,                0.46166,                0.88851,                0.94195,                0.93647,                0.95602,                0.79183,                0.67553,                0.37101,                0.86778,             0.00038771,             0.00038771,             0.00038771
                     60,                0.77219,                0.45413,                0.88577,                0.93599,                0.94227,                0.95674,                0.79333,                0.67427,                0.36838,                0.86719,             0.00035943,             0.00035943,             0.00035943
                     61,                0.67789,                0.36941,                0.86419,                 0.9443,                0.93612,                0.95836,                0.79684,                0.67599,                0.36717,                 0.8671,             0.00033114,             0.00033114,             0.00033114
                     62,                0.67502,                0.36511,                0.86249,                0.94204,                0.94004,                0.95798,                0.79782,                 0.6728,                0.36646,                0.86621,             0.00030286,             0.00030286,             0.00030286
                     63,                0.67217,                0.36046,                0.86102,                0.94315,                0.93876,                0.95828,                0.79774,                0.66797,                0.36316,                0.86412,             0.00027457,             0.00027457,             0.00027457
                     64,                0.66656,                0.35644,                0.85873,                0.94159,                 0.9424,                0.95824,                0.79779,                 0.6688,                0.36077,                0.86455,             0.00024629,             0.00024629,             0.00024629
                     65,                0.66437,                0.35445,                0.85739,                0.94755,                0.93671,                0.95928,                0.80026,                0.66716,                0.35953,                0.86295,               0.000218,               0.000218,               0.000218
                     66,                0.65743,                0.34949,                0.85679,                0.94763,                 0.9383,                0.95907,                 0.7999,                0.66749,                0.35962,                0.86343,             0.00018971,             0.00018971,             0.00018971
                     67,                0.65721,                0.34854,                0.85576,                0.94662,                0.93917,                0.95848,                0.79976,                0.66591,                0.35817,                0.86262,             0.00016143,             0.00016143,             0.00016143
                     68,                 0.6556,                0.34571,                0.85446,                0.94722,                0.93868,                0.95882,                0.79977,                0.66602,                0.35807,                0.86331,             0.00013314,             0.00013314,             0.00013314
                     69,                 0.6538,                0.34428,                0.85578,                0.94906,                0.93584,                0.95892,                0.80035,                0.66645,                0.35819,                0.86422,             0.00010486,             0.00010486,             0.00010486
                     70,                 0.6498,                0.34259,                0.85537,                0.94856,                0.93681,                0.95914,                0.80074,                0.66563,                0.35668,                0.86405,             7.6571e-05,             7.6571e-05,             7.6571e-05
